Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PKI,Perkinelmer,135.15,1.47,+1.10%,136.67,132,823900,2022-07-15
PLD,"Prologis Inc",121.01,2.88,+2.44%,121.51,118.55,2726600,2022-07-15
PM,"Philip Morris International Inc",90.18,0.56,+0.62%,91.22,89.82,5170900,2022-07-15
PNC,"PNC Bank",153.42,2.46,+1.63%,154.15,146.39,4838700,2022-07-15
PNR,"Pentair Ltd",46.21,1.01,+2.23%,46.64,45.45,869300,2022-07-15
PNW,"Pinnacle West Capital Corp",70.74,0.32,+0.45%,71,69.39,803300,2022-07-15
POOL,"Pool Corp",373.85,4.84,+1.31%,376.2,370.29,289000,2022-07-15
PPG,"PPG Industries",116.8,1.96,+1.71%,117.57,115.24,908300,2022-07-15
PPL,"PPL Corp",27.53,0.41,+1.51%,27.53,27.02,5039900,2022-07-15
PRU,"Prudential Financial Inc",92.33,1.89,+2.09%,92.92,90.43,1779400,2022-07-15
PSA,"Public Storage",313.32,6.89,+2.25%,313.99,307.38,734300,2022-07-15
PSX,"Phillips 66",81.64,3.09,+3.93%,81.74,79.2,2792200,2022-07-15
PTC,"Ptc Inc",102.24,1.98,+1.97%,102.32,100.94,497800,2022-07-15
PVH,"Phillips-Van Heusen Corp",56.97,1.85,+3.36%,56.99,55.06,1321100,2022-07-15
PWR,"Quanta Services",128.01,-0.03,-0.02%,130.16,120.39,1401400,2022-07-15
PXD,"Pioneer Natural Resources Company",208.45,3.01,+1.47%,211.15,205.92,1792700,2022-07-15
PYPL,"Paypal Holdings",73.91,4.36,+6.27%,74,70.25,14155200,2022-07-15
QCOM,"Qualcomm Inc",144.37,2.47,+1.74%,145.48,142.03,11880399,2022-07-15
QRVO,"Qorvo Inc",100.18,1.79,+1.82%,100.22,97.71,1301400,2022-07-15
RCL,"Royal Caribbean Cruises Ltd",32.76,1.48,+4.73%,32.78,31.1,5724500,2022-07-15
RE,"Everest Re Group",263.18,0.04,+0.02%,266.32,262.23,229900,2022-07-15
REG,"Regency Centers Corp",60.2,1.47,+2.50%,60.26,59.02,686700,2022-07-15
REGN,"Regeneron Pharmaceuticals",607.54,8.68,+1.45%,607.73,596.24,516300,2022-07-15
RF,"Regions Financial Corp",19.19,0.95,+5.21%,19.26,18.44,7459200,2022-07-15
RHI,"Robert Half International Inc",76.66,0.72,+0.95%,76.69,74.47,972500,2022-07-15
RJF,"Raymond James Financial",90.18,2.88,+3.30%,90.93,87.93,900700,2022-07-15
RL,"Ralph Lauren Corp",93.01,0.42,+0.45%,94.4,91.72,771500,2022-07-15
RMD,"Resmed Inc",225.5,3.58,+1.61%,226.07,221.9,574300,2022-07-15
ROK,"Rockwell Automation Inc",206.35,6.67,+3.34%,207.32,200.98,1041900,2022-07-15
ROL,"Rollins Inc",35.6,0.44,+1.25%,35.8,35.41,882400,2022-07-15
ROP,"Roper Industries",395.15,7.01,+1.81%,397.23,391.53,489000,2022-07-15
ROST,"Ross Stores Inc",77.98,1.01,+1.31%,78.62,77.57,2875700,2022-07-15
RSG,"Republic Services",129,0.63,+0.49%,129.95,127.96,686500,2022-07-15
RTX,"Raytheon Technologies Corp",91.23,1.15,+1.28%,91.46,90.3,3965300,2022-07-15
SBAC,"SBA Communications",320.75,2.74,+0.86%,325.33,319.42,461000,2022-07-15
SBNY,"Signature Bank",191.57,8.23,+4.49%,192.52,183.51,733900,2022-07-15
SBUX,"Starbucks Corp",79.62,1.42,+1.82%,80.21,78.61,5584100,2022-07-15
SCHW,"The Charles Schwab Corp",62.18,1.61,+2.66%,62.53,60.94,7219700,2022-07-15
SEDG,"Solaredge Tech",265.85,-3.17,-1.18%,266.36,245.26,1309100,2022-07-15
SEE,"Sealed Air Corp",56.62,0.34999999999999,+0.62%,57.15,56.27,694100,2022-07-15
SHW,"Sherwin-Williams Company",245.57,1.13,+0.46%,249.06,243.81,1109500,2022-07-15
SIVB,"Svb Financial Group",408.62,15.48,+3.94%,412.33,396.04,594000,2022-07-15
SJM,"J.M. Smucker Company",131.79,-1,-0.75%,133.38,131.19,500600,2022-07-15
SLB,"Schlumberger N.V.",32.3,0.97,+3.10%,32.36,31.34,10672601,2022-07-15
SNA,"Snap-On Inc",197.87,1.83,+0.93%,199.24,196.13,193800,2022-07-15
SNPS,"Synopsys Inc",314.3,9.28,+3.04%,314.98,307.9,832500,2022-07-15
SO,"Southern Company",72.33,0.47,+0.65%,72.49,71.44,4975600,2022-07-15
SPG,"Simon Property Group",96.36,2.36,+2.51%,96.75,94.75,2034600,2022-07-15
SPGI,"S&P Global Inc",349.45,4.28,+1.24%,351.91,347.77,1750500,2022-07-15
SRE,Sempra,151.24,3.23,+2.18%,151.63,146.73,2653700,2022-07-15
STE,"Steris Corp",209.26,2.47,+1.19%,210.77,208,363300,2022-07-15
STT,"State Street Corp",65.67,5.83,+9.74%,66.83,60.79,8351801,2022-07-15
STX,"Seagate Technology Hldgs Plc",77.58,2,+2.65%,77.92,75.37,1985300,2022-07-15
STZ,"Constellation Brands Inc",244.54,-6.43,-2.56%,246.1,239.77,1722100,2022-07-15
SWK,"Stanley Black & Decker Inc",107.13,1.02,+0.96%,107.99,105.28,848200,2022-07-15
SWKS,"Skyworks Solutions",101.06,1.64,+1.65%,101.18,98.74,1666900,2022-07-15
SYF,"Synchrony Financial",31.39,1.41,+4.70%,31.57,30.42,7605300,2022-07-15
SYK,"Stryker Corp",194.76,2.38,+1.24%,196.32,193.32,1904000,2022-07-15
SYY,"Sysco Corp",87.62,0.88,+1.01%,88.24,87.33,1846500,2022-07-15
T,"AT&T Inc",20.57,0.24,+1.18%,20.59,20.21,23838000,2022-07-15
TAP,"Molson Coors Brewing Company",58.64,0.46,+0.79%,58.94,57.97,1703800,2022-07-15
TDG,"Transdigm Group Inc",538.16,3.55,+0.66%,547.55,536.72,199500,2022-07-15
TDY,"Teledyne Technologies Inc",382.03,9.41,+2.53%,382.99,375,221800,2022-07-15
TECH,"Bio-Techne Cp",344.35,2.96,+0.87%,345.71,329.06,345400,2022-07-15
TEL,"Te Connectivity Ltd",115.66,3.24,+2.88%,115.67,113,1029500,2022-07-15
TER,"Teradyne Inc",93.75,1.84,+2.00%,93.77,91.02,1100800,2022-07-15
TFC,"Truist Financial Corp",47.41,2.21,+4.89%,47.56,45.6,6939500,2022-07-15
TFX,"Teleflex Inc",244.14,5.05,+2.11%,246.765,241.468,316600,2022-07-15
TGT,"Target Corp",146.67,0.38,+0.26%,148.68,145.85,3831400,2022-07-15
TJX,"TJX Companies",60.56,1.81,+3.08%,60.58,59.39,7248900,2022-07-15
TMO,"Thermo Fisher Scientific Inc",538.87,13.24,+2.52%,540.31,527.29,1672900,2022-07-15
TMUS,"T-Mobile US",137.37,1.71,+1.26%,137.43,135.23,4051500,2022-07-15
TPR,"Tapestry Inc",30.8,-0.3,-0.96%,31.75,30.43,2548400,2022-07-15
TRMB,"Trimble Navigation",58.68,1.71,+3.00%,58.78,57.46,605900,2022-07-15
TROW,"T Rowe Price Group",115.38,3.75,+3.36%,116.03,112.25,1472000,2022-07-15
TRV,"The Travelers Companies Inc",156.18,0.5,+0.32%,158.12,155.51,1561900,2022-07-15
TSCO,"Tractor Supply Company",203.2,1.42,+0.70%,204.29,201.75,976900,2022-07-15
TSLA,"Tesla Inc",720.2,5.26,+0.74%,730.87,710.67,23227600,2022-07-15
TSN,"Tyson Foods",81.93,0.39,+0.48%,82.88,81.71,1920700,2022-07-15
TT,"Trane Technologies Plc",129.56,2.22,+1.74%,131.08,127.96,4404300,2022-07-15
TTWO,"Take-Two Interactive",123.85,1.11,+0.90%,125,123.19,1089000,2022-07-15
TWTR,"Twitter Inc",37.74,1.45,+4.00%,37.77,36.27,14809301,2022-07-15
TXN,"Texas Instruments",160.54,2.69,+1.70%,160.71,157.64,7466100,2022-07-15
TXT,"Textron Inc",60.15,1.09,+1.85%,60.52,59.47,657000,2022-07-15
TYL,"Tyler Technologies",339.12,10.67,+3.25%,339.51,331.48,241300,2022-07-15
UAL,"United Airlines Holdings Inc",38.78,0.93,+2.46%,38.83,37.44,7702400,2022-07-15
UDR,"United Dominion Realty Trust",44.63,0.61,+1.39%,45.27,44.24,2586200,2022-07-15
UHS,"Universal Health Services",103.05,2.78,+2.77%,103.8,100.78,541400,2022-07-15
ULTA,"Ulta Beauty Inc",397.24,11.66,+3.02%,399,387.56,844000,2022-07-15
UNH,"Unitedhealth Group Inc",529.75,27.32,+5.44%,531.99,515.45,5742500,2022-07-15
UNP,"Union Pacific Corp",209.13,3.61,+1.76%,210.85,207.86,3997500,2022-07-15
UPS,"United Parcel Service",182.59,4.31,+2.42%,182.81,180.57,5014100,2022-07-15
URI,"United Rentals",251.84,3.31,+1.33%,254.23,244.2,727800,2022-07-15
USB,"U.S. Bancorp",46.57,2.32,+5.24%,47.01,44.93,8608100,2022-07-15
V,"Visa Inc",210.04,4.13,+2.01%,211.71,207.18,7245600,2022-07-15
VFC,"V.F. Corp",45.45,0.53,+1.18%,45.76,44.91,2058700,2022-07-15
VICI,"Vici Properties Inc",32.49,1.16,+3.70%,32.5,31.71,8523000,2022-07-15
VLO,"Valero Energy Corp",104.59,3.81,+3.78%,104.66,101.42,2791800,2022-07-15
VMC,"Vulcan Materials Company",148.72,1.45,+0.98%,149.62,147.29,429800,2022-07-15
VNO,"Vornado Realty Trust",28.92,0.23,+0.80%,29.34,28.75,2394200,2022-07-15
VRSK,"Verisk Analytics Inc",178.83,2.9,+1.65%,180.2,176.8,897300,2022-07-15
VRSN,"Verisign Inc",177.48,3.49,+2.01%,177.53,175.38,463300,2022-07-15
VRTX,"Vertex Pharmaceutic",292.84,6.69,+2.34%,293.53,284.93,2711700,2022-07-15
VTR,"Ventas Inc",50.74,0.85,+1.70%,51.07,49.72,1575100,2022-07-15
VTRS,"Viatris Inc",9.85,0,0.00%,10.02,9.67,9740500,2022-07-15
